Employee ID,Start Date,Degree,Graduation Date,Years Experience,Number of Jobs,Average Tenure,Department,Title,Gender,Ethnicity,Age,Employee Rating,Promoted
937477,26-Nov-14,Bachelor's Degree,3-Apr-14,6,3,1.98,Sales,Analyst,Female,White,46,2,Yes
930783,28-May-13,Bachelor's Degree,14-Jun-11,4,3,1.47,Marketing,Director,Female,White,28,4,Yes
930899,8-Oct-13,Master's Degree,27-May-11,5,4,1.25,Engineering,Associate,Female,White,30,3,No
931711,14-Jun-15,Bachelor's Degree,3-Mar-10,15,5,3.09,Sales,VP,Male,White,25,3,No
931914,25-Aug-16,Bachelor's Degree,9-Dec-14,9,4,2.26,Marketing,Analyst,Male,White,27,3,No
931943,30-Jun-14,Bachelor's Degree,9-Jul-09,2,3,0.72,Engineering,Director,Female,White,28,3,No
934495,18-Sep-15,Bachelor's Degree,6-Aug-15,1,3,0.3,Sales,Associate,Female,Asian,24,3,No
936931,21-May-15,Bachelor's Degree,22-Oct-11,3,4,0.69,Marketing,VP,Male,Asian,23,3,Yes
936960,5-Feb-16,Bachelor's Degree,26-Jan-13,3,2,1.25,Engineering,Analyst,Male,White,28,3,Yes
937221,13-Dec-14,Bachelor's Degree,31-Mar-14,4,5,0.85,Sales,Director,Female,Asian,23,3,No
937888,18-Jun-14,Bachelor's Degree,5-Jun-14,3,2,1.33,Marketing,Associate,Male,White,22,3,Yes
939077,29-May-14,Bachelor's Degree,15-Mar-14,7,3,2.27,Engineering,VP,Female,Hispanic/Latino,24,4,Yes
939106,6-Mar-14,Bachelor's Degree,14-Feb-14,6,3,1.89,Sales,Analyst,Male,White,24,3,No
939309,30-Mar-14,Bachelor's Degree,18-Oct-10,1,3,0.2,Marketing,Director,Female,White,23,3,No
939367,19-Sep-13,Master's Degree,25-May-09,23,7,3.31,Engineering,Associate,Female,White,49,4,No
931542,10-Feb-15,Master's Degree,29-Dec-11,3,1,2.73,Sales,VP,Male,Hispanic/Latino,35,3,No
931919,27-Sep-13,Bachelor's Degree,24-Mar-13,3,3,0.89,Marketing,Analyst,Male,White,23,3,No
933311,11-Apr-14,Master's Degree,24-Oct-08,10,5,1.93,Engineering,Director,Female,White,34,3,No
933891,12-Jul-13,Master's Degree,29-Dec-12,4,3,1.35,Sales,Associate,Female,White,32,4,No
934877,4-Jan-16,Bachelor's Degree,3-Nov-11,3,3,1.06,Marketing,VP,Male,White,28,3,No
935283,15-Oct-14,Bachelor's Degree,3-Jul-14,4,4,1.01,Engineering,Analyst,Female,White,23,4,Yes
935312,27-Apr-13,Master's Degree,18-Jan-12,9,2,4.59,Sales,Director,Female,Asian,40,3,Yes
935486,31-May-13,Master's Degree,14-Nov-08,16,1,15.58,Marketing,Associate,Male,Black or African American,38,4,No
935979,25-Aug-16,Master's Degree,21-Mar-12,7,5,1.39,Engineering,VP,Female,Asian,42,3,Yes
936414,2-Mar-16,Master's Degree,28-Oct-13,4,3,1.49,Sales,Analyst,Female,White,31,3,No
937023,14-Sep-13,Bachelor's Degree,1-Apr-09,4,3,1.28,Marketing,Director,Female,White,23,4,Yes
937574,24-Aug-13,Master's Degree,30-Dec-10,13,4,3.12,Engineering,Associate,Female,White,48,3,No
937864,19-Oct-14,Bachelor's Degree,22-Aug-09,3,3,1.03,Sales,VP,Female,Asian,25,3,No
937980,28-Jul-13,Bachelor's Degree,18-Dec-12,2,2,1.15,Marketing,Analyst,Female,White,23,3,No
938096,25-Aug-16,Bachelor's Degree,24-Mar-13,5,3,1.69,Engineering,Director,Male,White,28,3,Yes
938821,24-Nov-14,Bachelor's Degree,3-May-13,6,2,3.08,Sales,Associate,Female,White,26,4,Yes
938995,25-Aug-16,Bachelor's Degree,24-Dec-11,1,3,0.2,Marketing,VP,Male,White,23,3,No
930300,21-May-15,Master's Degree,18-Oct-12,5,4,1.17,Engineering,Analyst,Female,White,25,3,Yes
931721,9-Dec-13,Bachelor's Degree,16-Mar-10,1,2,0.42,Sales,Director,Female,White,23,3,Yes
931866,20-Sep-14,Bachelor's Degree,22-Jan-13,20,4,5.04,Marketing,Associate,Female,White,50,3,No
932011,4-Apr-16,Bachelor's Degree,20-Feb-11,17,1,17,Engineering,VP,Male,White,46,3,No
932127,26-May-13,Bachelor's Degree,10-Apr-11,3,3,1.14,Sales,Analyst,Female,White,25,2,No
932475,25-Aug-16,Bachelor's Degree,28-Feb-14,7,3,2.28,Marketing,Director,Male,White,26,3,Yes
932794,15-Sep-15,Master's Degree,4-Sep-14,2,3,0.67,Engineering,Associate,Female,White,28,3,Yes
933519,14-Mar-16,Bachelor's Degree,26-May-15,10,3,3.47,Sales,VP,Female,White,27,3,Yes
933751,10-Mar-16,Bachelor's Degree,4-Jan-12,1,3,0.17,Marketing,Analyst,Male,White,22,4,Yes
935288,26-Aug-14,Bachelor's Degree,23-Nov-12,1,3,0.33,Engineering,Director,Female,White,23,2,No
935810,12-Feb-16,Master's Degree,29-May-14,6,2,2.96,Sales,Associate,Male,White,32,3,Yes
935926,28-Dec-13,Master's Degree,18-Jul-08,7,6,1.11,Marketing,VP,Female,Black or African American,26,0,No
937840,19-Mar-14,Bachelor's Degree,5-Jun-10,3,3,1.16,Engineering,Analyst,Female,Asian,23,4,No
937869,25-Aug-16,Bachelor's Degree,24-Aug-14,5,2,2.29,Sales,Director,Male,Asian,22,3,No
937898,18-Oct-15,Bachelor's Degree,27-Feb-11,0,2,0.17,Marketing,Associate,Female,Hispanic/Latino,22,4,No
937927,1-Jan-14,Bachelor's Degree,18-Jul-12,1,3,0.31,Engineering,VP,Female,White,23,3,Yes
937956,14-Dec-15,Bachelor's Degree,4-May-13,3,3,1,Sales,Analyst,Female,White,22,3,No
937985,16-Jul-13,Bachelor's Degree,12-Feb-12,0,1,0.17,Marketing,Director,Female,White,22,3,No
938014,17-Dec-15,Bachelor's Degree,1-Aug-14,3,4,0.63,Engineering,Associate,Female,White,22,3,No
938043,9-Jun-16,Bachelor's Degree,2-Nov-12,0,1,0.17,Sales,VP,Female,White,22,3,Yes
938072,28-Nov-13,High School Diploma/GED,11-Feb-09,2,2,0.8,Marketing,Analyst,Male,White,22,4,Yes
938159,14-Jan-15,Bachelor's Degree,17-Jun-12,3,4,0.69,Engineering,Director,Male,White,22,4,Yes
939116,22-Oct-14,Bachelor's Degree,23-Mar-14,3,5,0.5,Sales,Associate,Female,Asian,21,3,No
939145,27-Dec-13,Bachelor's Degree,22-Aug-13,5,3,1.78,Marketing,VP,Male,White,23,3,Yes
939174,25-Aug-16,Master's Degree,21-Jan-11,3,3,1.06,Engineering,Analyst,Male,White,22,3,Yes
939203,12-Jul-14,Bachelor's Degree,29-Sep-09,2,3,0.58,Sales,Director,Female,White,23,4,Yes
939232,27-Feb-16,Bachelor's Degree,21-Apr-10,0,2,0.21,Marketing,Associate,Male,White,22,3,No
939377,19-Oct-15,Bachelor's Degree,29-Mar-11,3,5,0.6,Engineering,VP,Male,White,22,2,Yes
939435,9-Apr-14,Bachelor's Degree,11-Jul-12,4,5,0.82,Sales,Analyst,Female,White,22,3,Yes
939464,11-Jul-14,Bachelor's Degree,29-Jan-12,4,2,1.87,Marketing,Director,Male,Hispanic/Latino,22,3,Yes
